YEAR,OCC1950,MARST,mariageStatusCount,Count,percent,MaritalStatus,Profession
1880,0,1,150,312,48.07692308,"Married, spouse present",Accountants and auditors
1880,0,2,17,312,5.448717949,"Married, spouse absent",Accountants and auditors
1880,0,5,21,312,6.730769231,Widowed,Accountants and auditors
1880,0,6,124,312,39.74358974,Never married/single,Accountants and auditors
1900,0,1,352,618,56.9579288,"Married, spouse present",Accountants and auditors
1900,0,2,26,618,4.207119741,"Married, spouse absent",Accountants and auditors
1900,0,4,4,618,0.647249191,Divorced,Accountants and auditors
1900,0,5,26,618,4.207119741,Widowed,Accountants and auditors
1900,0,6,210,618,33.98058252,Never married/single,Accountants and auditors
1910,0,1,202,352,57.38636364,"Married, spouse present",Accountants and auditors
1910,0,2,13,352,3.693181818,"Married, spouse absent",Accountants and auditors
1910,0,4,5,352,1.420454545,Divorced,Accountants and auditors
1910,0,5,8,352,2.272727273,Widowed,Accountants and auditors
1910,0,6,124,352,35.22727273,Never married/single,Accountants and auditors
1920,0,1,709,1205,58.83817427,"Married, spouse present",Accountants and auditors
1920,0,2,34,1205,2.821576763,"Married, spouse absent",Accountants and auditors
1920,0,4,8,1205,0.663900415,Divorced,Accountants and auditors
1920,0,5,42,1205,3.485477178,Widowed,Accountants and auditors
1920,0,6,412,1205,34.19087137,Never married/single,Accountants and auditors
1930,0,1,6226,9638,64.59846441,"Married, spouse present",Accountants and auditors
1930,0,2,237,9638,2.459016393,"Married, spouse absent",Accountants and auditors
1930,0,4,134,9638,1.390329944,Divorced,Accountants and auditors
1930,0,5,227,9638,2.355260427,Widowed,Accountants and auditors
1930,0,6,2814,9638,29.19692882,Never married/single,Accountants and auditors
1950,0,1,2959,3876,76.34158927,"Married, spouse present",Accountants and auditors
1950,0,2,50,3876,1.28998968,"Married, spouse absent",Accountants and auditors
1950,0,3,20,3876,0.515995872,Separated,Accountants and auditors
1950,0,4,68,3876,1.754385965,Divorced,Accountants and auditors
1950,0,5,67,3876,1.728586171,Widowed,Accountants and auditors
1950,0,6,712,3876,18.36945304,Never married/single,Accountants and auditors
1960,0,1,20773,26734,77.70255106,"Married, spouse present",Accountants and auditors
1960,0,2,281,26734,1.051095983,"Married, spouse absent",Accountants and auditors
1960,0,3,200,26734,0.74811102,Separated,Accountants and auditors
1960,0,4,686,26734,2.566020797,Divorced,Accountants and auditors
1960,0,5,762,26734,2.850302985,Widowed,Accountants and auditors
1960,0,6,4032,26734,15.08191816,Never married/single,Accountants and auditors
1970,0,1,12311,16398,75.07622881,"Married, spouse present",Accountants and auditors
1970,0,2,216,16398,1.317233809,"Married, spouse absent",Accountants and auditors
1970,0,3,178,16398,1.085498231,Separated,Accountants and auditors
1970,0,4,629,16398,3.835833638,Divorced,Accountants and auditors
1970,0,5,564,16398,3.439443835,Widowed,Accountants and auditors
1970,0,6,2500,16398,15.24576168,Never married/single,Accountants and auditors
1980,0,1,35944,55679,64.55575711,"Married, spouse present",Accountants and auditors
1980,0,2,430,55679,0.772283985,"Married, spouse absent",Accountants and auditors
1980,0,3,834,55679,1.497871729,Separated,Accountants and auditors
1980,0,4,4114,55679,7.388782126,Divorced,Accountants and auditors
1980,0,5,1357,55679,2.437184576,Widowed,Accountants and auditors
1980,0,6,13000,55679,23.34812048,Never married/single,Accountants and auditors
1990,0,1,53068,82808,64.08559559,"Married, spouse present",Accountants and auditors
1990,0,2,728,82808,0.879142112,"Married, spouse absent",Accountants and auditors
1990,0,3,1227,82808,1.481740895,Separated,Accountants and auditors
1990,0,4,7311,82808,8.828857115,Divorced,Accountants and auditors
1990,0,5,1841,82808,2.223215148,Widowed,Accountants and auditors
1990,0,6,18633,82808,22.50144914,Never married/single,Accountants and auditors
2000,0,1,63121,97459,64.76672242,"Married, spouse present",Accountants and auditors
2000,0,2,1283,97459,1.31645102,"Married, spouse absent",Accountants and auditors
2000,0,3,1451,97459,1.488831201,Separated,Accountants and auditors
2000,0,4,9948,97459,10.20736925,Divorced,Accountants and auditors
2000,0,5,2292,97459,2.351758175,Widowed,Accountants and auditors
2000,0,6,19364,97459,19.86886793,Never married/single,Accountants and auditors
2001,0,1,5887,8931,65.91647072,"Married, spouse present",Accountants and auditors
2001,0,2,88,8931,0.98533199,"Married, spouse absent",Accountants and auditors
2001,0,3,117,8931,1.310043668,Separated,Accountants and auditors
2001,0,4,908,8931,10.16683462,Divorced,Accountants and auditors
2001,0,5,202,8931,2.261784795,Widowed,Accountants and auditors
2001,0,6,1729,8931,19.35953421,Never married/single,Accountants and auditors
2002,0,1,5603,8275,67.70996979,"Married, spouse present",Accountants and auditors
2002,0,2,97,8275,1.172205438,"Married, spouse absent",Accountants and auditors
2002,0,3,111,8275,1.341389728,Separated,Accountants and auditors
2002,0,4,814,8275,9.836858006,Divorced,Accountants and auditors
2002,0,5,189,8275,2.283987915,Widowed,Accountants and auditors
2002,0,6,1461,8275,17.65558912,Never married/single,Accountants and auditors
2003,0,1,6486,9809,66.12294831,"Married, spouse present",Accountants and auditors
2003,0,2,120,9809,1.223366296,"Married, spouse absent",Accountants and auditors
2003,0,3,120,9809,1.223366296,Separated,Accountants and auditors
2003,0,4,994,9809,10.13355082,Divorced,Accountants and auditors
2003,0,5,244,9809,2.487511469,Widowed,Accountants and auditors
2003,0,6,1845,9809,18.8092568,Never married/single,Accountants and auditors
2004,0,1,6585,9903,66.49500151,"Married, spouse present",Accountants and auditors
2004,0,2,108,9903,1.090578613,"Married, spouse absent",Accountants and auditors
2004,0,3,123,9903,1.242047864,Separated,Accountants and auditors
2004,0,4,1058,9903,10.68363122,Divorced,Accountants and auditors
2004,0,5,227,9903,2.292234676,Widowed,Accountants and auditors
2004,0,6,1802,9903,18.19650611,Never married/single,Accountants and auditors
2005,0,1,15718,23564,66.70344593,"Married, spouse present",Accountants and auditors
2005,0,2,276,23564,1.171278221,"Married, spouse absent",Accountants and auditors
2005,0,3,293,23564,1.243422169,Separated,Accountants and auditors
2005,0,4,2421,23564,10.274147,Divorced,Accountants and auditors
2005,0,5,578,23564,2.452894245,Widowed,Accountants and auditors
2005,0,6,4278,23564,18.15481243,Never married/single,Accountants and auditors
2006,0,1,15771,23863,66.08976239,"Married, spouse present",Accountants and auditors
2006,0,2,290,23863,1.215270502,"Married, spouse absent",Accountants and auditors
2006,0,3,298,23863,1.248795206,Separated,Accountants and auditors
2006,0,4,2506,23863,10.50161338,Divorced,Accountants and auditors
2006,0,5,561,23863,2.350919834,Widowed,Accountants and auditors
2006,0,6,4437,23863,18.59363869,Never married/single,Accountants and auditors
2007,0,1,16784,25206,66.58732048,"Married, spouse present",Accountants and auditors
2007,0,2,307,25206,1.217963977,"Married, spouse absent",Accountants and auditors
2007,0,3,306,25206,1.213996667,Separated,Accountants and auditors
2007,0,4,2531,25206,10.04126002,Divorced,Accountants and auditors
2007,0,5,565,25206,2.241529794,Widowed,Accountants and auditors
2007,0,6,4713,25206,18.69792906,Never married/single,Accountants and auditors
2008,0,1,16930,25660,65.97817615,"Married, spouse present",Accountants and auditors
2008,0,2,307,25660,1.196414653,"Married, spouse absent",Accountants and auditors
2008,0,3,304,25660,1.184723305,Separated,Accountants and auditors
2008,0,4,2567,25660,10.00389712,Divorced,Accountants and auditors
2008,0,5,617,25660,2.404520655,Widowed,Accountants and auditors
2008,0,6,4935,25660,19.23226812,Never married/single,Accountants and auditors
2009,0,1,16947,25494,66.47446458,"Married, spouse present",Accountants and auditors
2009,0,2,305,25494,1.196359928,"Married, spouse absent",Accountants and auditors
2009,0,3,276,25494,1.082607672,Separated,Accountants and auditors
2009,0,4,2646,25494,10.37891269,Divorced,Accountants and auditors
2009,0,5,565,25494,2.216207735,Widowed,Accountants and auditors
2009,0,6,4755,25494,18.6514474,Never married/single,Accountants and auditors
2010,0,1,16319,25019,65.22642791,"Married, spouse present",Accountants and auditors
2010,0,2,306,25019,1.223070466,"Married, spouse absent",Accountants and auditors
2010,0,3,320,25019,1.279027939,Separated,Accountants and auditors
2010,0,4,2657,25019,10.61992885,Divorced,Accountants and auditors
2010,0,5,582,25019,2.326232064,Widowed,Accountants and auditors
2010,0,6,4835,25019,19.32531276,Never married/single,Accountants and auditors
2011,0,1,15157,23712,63.92122132,"Married, spouse present",Accountants and auditors
2011,0,2,312,23712,1.315789474,"Married, spouse absent",Accountants and auditors
2011,0,3,313,23712,1.320006748,Separated,Accountants and auditors
2011,0,4,2552,23712,10.76248313,Divorced,Accountants and auditors
2011,0,5,648,23712,2.732793522,Widowed,Accountants and auditors
2011,0,6,4730,23712,19.9477058,Never married/single,Accountants and auditors
2012,0,1,15984,24790,64.47761194,"Married, spouse present",Accountants and auditors
2012,0,2,343,24790,1.383622428,"Married, spouse absent",Accountants and auditors
2012,0,3,289,24790,1.165792658,Separated,Accountants and auditors
2012,0,4,2616,24790,10.55264219,Divorced,Accountants and auditors
2012,0,5,662,24790,2.670431626,Widowed,Accountants and auditors
2012,0,6,4896,24790,19.74989915,Never married/single,Accountants and auditors
2013,0,1,15778,24569,64.21913794,"Married, spouse present",Accountants and auditors
2013,0,2,351,24569,1.428629574,"Married, spouse absent",Accountants and auditors
2013,0,3,295,24569,1.200700069,Separated,Accountants and auditors
2013,0,4,2559,24569,10.41556433,Divorced,Accountants and auditors
2013,0,5,655,24569,2.665961171,Widowed,Accountants and auditors
2013,0,6,4931,24569,20.07000692,Never married/single,Accountants and auditors
2014,0,1,14800,23269,63.60393657,"Married, spouse present",Accountants and auditors
2014,0,2,385,23269,1.654561863,"Married, spouse absent",Accountants and auditors
2014,0,3,249,23269,1.070093257,Separated,Accountants and auditors
2014,0,4,2545,23269,10.93729855,Divorced,Accountants and auditors
2014,0,5,631,23269,2.711762431,Widowed,Accountants and auditors
2014,0,6,4659,23269,20.02234733,Never married/single,Accountants and auditors
2015,0,1,15203,23899,63.61354032,"Married, spouse present",Accountants and auditors
2015,0,2,394,23899,1.648604544,"Married, spouse absent",Accountants and auditors
2015,0,3,277,23899,1.159044311,Separated,Accountants and auditors
2015,0,4,2590,23899,10.83727353,Divorced,Accountants and auditors
2015,0,5,653,23899,2.732331897,Widowed,Accountants and auditors
2015,0,6,4782,23899,20.00920541,Never married/single,Accountants and auditors
2016,0,1,15219,23946,63.55549987,"Married, spouse present",Accountants and auditors
2016,0,2,359,23946,1.499206548,"Married, spouse absent",Accountants and auditors
2016,0,3,296,23946,1.236114591,Separated,Accountants and auditors
2016,0,4,2525,23946,10.54455859,Divorced,Accountants and auditors
2016,0,5,689,23946,2.877307275,Widowed,Accountants and auditors
2016,0,6,4858,23946,20.28731312,Never married/single,Accountants and auditors
2017,0,1,15833,24927,63.51747102,"Married, spouse present",Accountants and auditors
2017,0,2,393,24927,1.576603683,"Married, spouse absent",Accountants and auditors
2017,0,3,271,24927,1.08717455,Separated,Accountants and auditors
2017,0,4,2642,24927,10.59894893,Divorced,Accountants and auditors
2017,0,5,654,24927,2.62366109,Widowed,Accountants and auditors
2017,0,6,5134,24927,20.59614073,Never married/single,Accountants and auditors
2018,0,1,15825,25052,63.16860929,"Married, spouse present",Accountants and auditors
2018,0,2,402,25052,1.604662302,"Married, spouse absent",Accountants and auditors
2018,0,3,305,25052,1.217467667,Separated,Accountants and auditors
2018,0,4,2651,25052,10.58198946,Divorced,Accountants and auditors
2018,0,5,673,25052,2.686412262,Widowed,Accountants and auditors
2018,0,6,5196,25052,20.74085901,Never married/single,Accountants and auditors
2019,0,1,13730,21590,63.5942566,"Married, spouse present",Accountants and auditors
2019,0,2,313,21590,1.449745252,"Married, spouse absent",Accountants and auditors
2019,0,3,202,21590,0.935618342,Separated,Accountants and auditors
